feature,mean_abs_shap
traction_tractionForce,29385.438
temperature_ambient,5817.6978
gnss_latitude,4431.1
odometry_wheelSpeed_fl,3208.7795
gnss_longitude,3073.2012
odometry_vehicleSpeed,2993.5586
odometry_wheelSpeed_ml,2927.6035
odometry_wheelSpeed_rl,2290.0107
odometry_steeringAngle,1870.3766
odometry_wheelSpeed_rr,1771.8955
odometry_wheelSpeed_mr,1746.3647
odometry_wheelSpeed_fr,1502.7206
odometry_articulationAngle,1413.2919
traction_brakePressure,444.99603
status_haltBrakeIsActive,280.06256
status_gridIsAvailable,279.99426
status_parkBrakeIsActive,51.51863
status_doorIsOpen,49.62
