feature_lag,mean_abs_shap
traction_tractionForce_t-0,34315.418
traction_tractionForce_t-1,5666.817
odometry_vehicleSpeed_t-0,4388.782
odometry_wheelSpeed_fr_t-1,2622.402
odometry_wheelSpeed_ml_t-0,1554.6898
traction_tractionForce_t-2,1138.9329
odometry_wheelSpeed_fr_t-0,1088.9253
odometry_wheelSpeed_fr_t-4,973.3104
odometry_wheelSpeed_fl_t-0,882.6452
odometry_wheelSpeed_rl_t-0,858.5395
traction_tractionForce_t-3,765.4707
odometry_vehicleSpeed_t-1,690.9521
temperature_ambient_t-0,574.40356
odometry_wheelSpeed_mr_t-1,548.187
temperature_ambient_t-4,539.58215
odometry_vehicleSpeed_t-2,481.18634
odometry_vehicleSpeed_t-4,455.7297
traction_tractionForce_t-9,417.1258
odometry_steeringAngle_t-0,385.71243
temperature_ambient_t-5,378.5746
odometry_wheelSpeed_rr_t-1,370.20392
odometry_wheelSpeed_rr_t-0,369.04056
odometry_vehicleSpeed_t-5,320.8806
odometry_wheelSpeed_mr_t-0,314.2975
odometry_vehicleSpeed_t-6,287.66022
gnss_latitude_t-0,274.65112
odometry_wheelSpeed_rl_t-5,272.5375
odometry_vehicleSpeed_t-3,256.02322
odometry_wheelSpeed_fl_t-3,250.84692
odometry_wheelSpeed_fl_t-1,205.65155
odometry_wheelSpeed_fl_t-5,205.48264
gnss_longitude_t-0,193.71222
traction_brakePressure_t-0,189.53294
traction_tractionForce_t-8,180.60153
odometry_wheelSpeed_rl_t-6,179.91544
odometry_wheelSpeed_rl_t-2,176.09613
odometry_wheelSpeed_fr_t-3,173.90446
gnss_longitude_t-3,163.06447
odometry_wheelSpeed_mr_t-3,161.89084
odometry_wheelSpeed_rr_t-3,159.55328
odometry_wheelSpeed_mr_t-4,158.8004
odometry_steeringAngle_t-4,146.54869
gnss_latitude_t-9,137.13483
gnss_latitude_t-4,136.45876
odometry_wheelSpeed_fl_t-2,133.48572
traction_tractionForce_t-6,130.984
temperature_ambient_t-2,126.4418
odometry_wheelSpeed_ml_t-5,124.37142
temperature_ambient_t-3,123.87351
gnss_longitude_t-9,123.25785
odometry_wheelSpeed_fr_t-5,122.26484
temperature_ambient_t-8,119.3314
odometry_wheelSpeed_ml_t-1,112.09708
odometry_articulationAngle_t-0,102.51599
traction_tractionForce_t-7,102.196205
odometry_wheelSpeed_mr_t-5,101.74655
gnss_longitude_t-6,100.17853
gnss_longitude_t-2,96.53673
odometry_wheelSpeed_rr_t-2,95.77644
odometry_wheelSpeed_rr_t-4,95.15105
odometry_wheelSpeed_fl_t-4,88.77962
traction_tractionForce_t-5,88.65102
gnss_latitude_t-1,86.676674
gnss_latitude_t-7,79.091194
gnss_longitude_t-1,77.702034
odometry_articulationAngle_t-4,76.03594
gnss_latitude_t-8,72.38977
odometry_wheelSpeed_ml_t-2,70.36212
traction_tractionForce_t-4,68.99658
odometry_wheelSpeed_mr_t-2,65.5957
odometry_wheelSpeed_rl_t-4,65.30391
temperature_ambient_t-1,63.186943
odometry_wheelSpeed_fl_t-6,61.179195
odometry_wheelSpeed_ml_t-4,60.403458
gnss_latitude_t-2,60.21092
odometry_wheelSpeed_ml_t-3,56.230644
odometry_steeringAngle_t-3,56.184933
odometry_wheelSpeed_rl_t-3,53.733467
odometry_wheelSpeed_fr_t-2,50.170185
temperature_ambient_t-9,47.780136
gnss_longitude_t-7,47.53509
odometry_wheelSpeed_rl_t-1,41.32357
gnss_longitude_t-8,37.997852
odometry_wheelSpeed_mr_t-6,37.423717
gnss_latitude_t-6,37.1845
odometry_vehicleSpeed_t-7,37.06147
odometry_wheelSpeed_rr_t-5,36.59578
gnss_longitude_t-5,35.514194
odometry_steeringAngle_t-6,34.89591
odometry_articulationAngle_t-8,34.52768
odometry_wheelSpeed_ml_t-6,31.718632
odometry_wheelSpeed_rl_t-7,31.317865
odometry_steeringAngle_t-9,30.875912
odometry_articulationAngle_t-7,30.574198
odometry_steeringAngle_t-8,30.010305
odometry_wheelSpeed_rr_t-6,29.443188
temperature_ambient_t-6,25.718395
traction_brakePressure_t-1,25.620777
gnss_longitude_t-4,24.914162
odometry_steeringAngle_t-5,23.09653
odometry_articulationAngle_t-5,22.75372
odometry_articulationAngle_t-9,22.60721
gnss_latitude_t-3,22.532675
odometry_steeringAngle_t-2,22.202784
odometry_wheelSpeed_fr_t-6,19.098904
odometry_wheelSpeed_fl_t-9,19.003313
odometry_wheelSpeed_ml_t-8,15.767022
temperature_ambient_t-7,14.260791
gnss_latitude_t-5,13.638172
odometry_wheelSpeed_rl_t-9,12.713729
odometry_steeringAngle_t-1,11.158518
odometry_wheelSpeed_rr_t-7,10.98952
odometry_articulationAngle_t-6,10.894732
odometry_wheelSpeed_fr_t-9,10.718567
odometry_wheelSpeed_mr_t-7,9.291133
odometry_steeringAngle_t-7,8.314545
odometry_wheelSpeed_ml_t-7,8.083389
odometry_articulationAngle_t-2,8.003434
odometry_articulationAngle_t-3,7.6487875
status_doorIsOpen_t-9,7.5470376
status_parkBrakeIsActive_t-7,6.720571
odometry_articulationAngle_t-1,6.5983033
odometry_wheelSpeed_mr_t-9,5.1635666
traction_brakePressure_t-3,4.9534287
odometry_vehicleSpeed_t-9,4.821014
traction_brakePressure_t-5,4.259127
traction_brakePressure_t-2,4.2301145
odometry_vehicleSpeed_t-8,4.0355487
odometry_wheelSpeed_fl_t-7,3.298805
status_doorIsOpen_t-5,3.0548313
status_parkBrakeIsActive_t-6,2.5950835
odometry_wheelSpeed_rr_t-9,2.320598
traction_brakePressure_t-9,2.3110883
status_parkBrakeIsActive_t-9,2.2530098
odometry_wheelSpeed_ml_t-9,1.9456035
odometry_wheelSpeed_mr_t-8,1.6795355
odometry_wheelSpeed_fl_t-8,1.6095608
status_parkBrakeIsActive_t-8,1.5810697
status_parkBrakeIsActive_t-5,1.1667476
odometry_wheelSpeed_fr_t-8,1.0903399
odometry_wheelSpeed_rr_t-8,0.79159135
status_gridIsAvailable_t-0,0.7355725
traction_brakePressure_t-8,0.65141827
status_parkBrakeIsActive_t-2,0.34998238
odometry_wheelSpeed_rl_t-8,0.3235106
odometry_wheelSpeed_fr_t-7,0.30526048
traction_brakePressure_t-6,0.12892158
status_gridIsAvailable_t-9,0.11404326
status_doorIsOpen_t-7,0.09552362
status_doorIsOpen_t-6,0.026150811
traction_brakePressure_t-7,0.009670281
status_gridIsAvailable_t-7,0.0
status_parkBrakeIsActive_t-4,0.0
status_doorIsOpen_t-3,0.0
status_gridIsAvailable_t-5,0.0
status_parkBrakeIsActive_t-0,0.0
status_haltBrakeIsActive_t-0,0.0
status_gridIsAvailable_t-2,0.0
status_doorIsOpen_t-0,0.0
status_gridIsAvailable_t-3,0.0
status_haltBrakeIsActive_t-5,0.0
status_haltBrakeIsActive_t-2,0.0
status_haltBrakeIsActive_t-3,0.0
status_parkBrakeIsActive_t-3,0.0
status_haltBrakeIsActive_t-4,0.0
status_doorIsOpen_t-8,0.0
status_doorIsOpen_t-4,0.0
status_gridIsAvailable_t-4,0.0
status_haltBrakeIsActive_t-8,0.0
status_haltBrakeIsActive_t-9,0.0
status_haltBrakeIsActive_t-7,0.0
traction_brakePressure_t-4,0.0
status_gridIsAvailable_t-8,0.0
status_doorIsOpen_t-2,0.0
status_haltBrakeIsActive_t-1,0.0
status_gridIsAvailable_t-1,0.0
status_doorIsOpen_t-1,0.0
status_haltBrakeIsActive_t-6,0.0
status_gridIsAvailable_t-6,0.0
status_parkBrakeIsActive_t-1,0.0
